Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,002,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1980,125,1563,1513


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,002,10-10-2016,180,55,1800,,,,,,
B28H1883,002,11-10-2016,178,53,1802,,,,,,
B28H1883,002,12-10-2016,178,53,1802,,,,,,
B28H1883,002,13-10-2016,178,53,1802,,,,,,
B28H1883,002,14-10-2016,179,54,1801,,,,,,
B28H1883,002,15-10-2016,179,54,1801,,,,,,
B28H1883,002,16-10-2016,176,51,1804,,,,,,
B28H1883,002,17-10-2016,179,54,1801,,,,,,
B28H1883,002,18-10-2016,178,53,1802,,,,,,
B28H1883,002,19-10-2016,163,38,1817,,,,,,
B28H1883,002,20-10-2016,147,22,1833,,,,,,
B28H1883,002,21-10-2016,152,27,1828,,,,,,
B28H1883,002,22-10-2016,145,20,1835,,,,,,
B28H1883,002,23-10-2016,148,23,1832,,,,,,
B28H1883,002,24-10-2016,150,25,1830,,,,,,
B28H1883,002,25-10-2016,150,25,1830,,,,,,
B28H1883,002,26-10-2016,150,25,1830,,,,,,
B28H1883,002,27-10-2016,151,26,1829,,,,,,
B28H1883,002,28-10-2016,151,26,1829,,,,,,
B28H1883,002,29-10-2016,149,24,1831,,,,,,
B28H1883,002,30-10-2016,150,25,1830,,,,,,
B28H1883,002,31-10-2016,149,24,1831,,,,,,
B28H1883,002,01-11-2016,149,24,1831,,,,,,
B28H1883,002,02-11-2016,146,21,1834,,,,,,
B28H1883,002,03-11-2016,147,22,1833,,,,,,
B28H1883,002,04-11-2016,147,22,1833,,,,,,
B28H1883,002,05-11-2016,145,20,1835,,,,,,
B28H1883,002,06-11-2016,144,19,1836,,,,,,
B28H1883,002,07-11-2016,137,12,1843,,,,,,
B28H1883,002,08-11-2016,129,4,1851,,,,,,
B28H1883,002,09-11-2016,129,4,1851,,,,,,
B28H1883,002,10-11-2016,130,5,1850,,,,,,
B28H1883,002,11-11-2016,131,6,1849,,,,,,
B28H1883,002,12-11-2016,133,8,1847,,,,,,
